Year,Ticker,Weight,1Y_P,1Y_F,Industry,Sector
2011,SLB,0.78251,0.72,22.92,Oil & Gas Equipment & Services,Energy
2011,ABT,0.7736,2.89,38.71,Medical Devices,Healthcare
2011,AMZN,0.76236,41.63,17.62,Internet Retail,Consumer Cyclical
2011,C,0.72645,-31.17,27.88,Banks - Diversified,Financial Services
2012,AAPL,4.85563,75.7,-25.04,Consumer Electronics,Technology
2012,XOM,3.27745,29.07,-2.81,Oil & Gas Integrated,Energy
2012,GE,1.86166,54.89,8.96,Aerospace & Defense,Industrials
2012,CVX,1.77565,30.04,8.06,Oil & Gas Integrated,Energy
2012,MSFT,1.74403,22.86,16.3,Software - Infrastructure,Technology
2012,IBM,1.73224,20.59,-9.56,Information Technology Services,Technology
2012,T,1.68892,42.44,-3.96,Telecom Services,Communication Services
2012,GOOGL,1.55043,46.49,15.05,Internet Content & Information,Communication Services
2012,PG,1.4829,13.48,14.68,Household & Personal Products,Consumer Defensive
2012,JNJ,1.47481,12.25,29.51,Drug Manufacturers - General,Healthcare
2012,PFE,1.44103,46.2,19.33,Drug Manufacturers - General,Healthcare
2012,WFC,1.31876,46.77,23.29,Banks - Diversified,Financial Services
2012,BRK-B,1.25473,24.16,29.54,Insurance - Diversified,Financial Services
2012,JPM,1.19382,38.59,31.09,Banks - Diversified,Financial Services
2012,PM,1.17726,49.64,-0.68,Tobacco,Consumer Defensive
2012,KO,1.14032,15.49,2.91,Beverages - Non-Alcoholic,Consumer Defensive
2012,MRK,1.06631,44.03,9.69,Drug Manufacturers - General,Healthcare
2012,VZ,1.00779,30.32,7.11,Telecom Services,Communication Services
2012,WMT,0.96338,45.8,2.86,Discount Stores,Consumer Defensive
2012,ORCL,0.93131,10.38,7.88,Software - Infrastructure,Technology
2012,INTC,0.88096,9.72,5.09,Semiconductors,Technology
2012,PEP,0.8551,17.99,16.85,Beverages - Non-Alcoholic,Consumer Defensive
2012,ABT,0.83531,38.71,1.93,Medical Devices,Healthcare
2012,QCOM,0.82643,30.49,10.86,Semiconductors,Technology
2012,CSCO,0.78376,25.18,26.24,Communication Equipment,Technology
2012,SLB,0.74523,22.92,24.33,Oil & Gas Equipment & Services,Energy
2012,C,0.74488,27.88,49.42,Banks - Diversified,Financial Services
2012,CMCSA,0.74314,74.45,28.21,Telecom Services,Communication Services
2012,BAC,0.73875,45.12,55.66,Banks - Diversified,Financial Services
2012,DIS,0.72817,76.25,27.12,Entertainment,Communication Services
2013,AAPL,2.89693,-25.04,50.31,Consumer Electronics,Technology
2013,XOM,2.53237,-2.81,12.82,Oil & Gas Integrated,Energy
2013,MSFT,1.68806,16.3,43.55,Software - Infrastructure,Technology
2013,GOOGL,1.63766,15.05,34.08,Internet Content & Information,Communication Services
2013,JNJ,1.63335,29.51,26.36,Drug Manufacturers - General,Healthcare
2013,GE,1.62691,8.96,10.02,Aerospace & Defense,Industrials
2013,CVX,1.56954,8.06,2.67,Oil & Gas Integrated,Energy
2013,PG,1.38417,14.68,15.25,Household & Personal Products,Consumer Defensive
2013,BRK-B,1.36621,29.54,21.87,Insurance - Diversified,Financial Services
2013,WFC,1.33518,23.29,28.64,Banks - Diversified,Financial Services
2013,JPM,1.30096,31.09,19.92,Banks - Diversified,Financial Services
2013,IBM,1.27507,-9.56,4.74,Information Technology Services,Technology
